"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,0,-180,-18.0829668637786,-0.0793876720273254,-0.011152207598104
2,0,-179,-16.9555036924804,-0.110672547687793,-0.0217833155386651
2,0,-178,-15.9555459665364,-0.149870993541878,-0.0372617129697609
2,0,-177,-15.0620998875703,-0.197043248570845,-0.0576346467389352
2,0,-176,-14.258217959491,-0.252260661396165,-0.0829457023366583
2,0,-175,-13.5303879544935,-0.315605926366863,-0.113234931028615
2,0,-174,-12.8678218333551,-0.387173336035533,-0.148538904465416
2,0,-173,-12.2618472275388,-0.467069054076547,-0.18889069790591
2,0,-172,-11.7054300401762,-0.555411413895104,-0.234319803992544
2,0,-171,-11.192810760519,-0.652331249415379,-0.284851979672105
2,0,-170,-10.7192295139951,-0.757972265830826,-0.340509029360962
2,0,-169,-10.2807177963699,-0.872491459462405,-0.401308527807786
2,0,-168,-9.87393970650138,-0.996059597319661,-0.467263486307715
2,0,-167,-9.49606988259288,-1.12886176851995,-0.538381965970499
2,0,-166,-9.14469877381683,-1.27109802142338,-0.614666641641425
2,0,-165,-8.81775841419318,-1.42298410222649,-0.69611431982195
2,0,-164,-8.51346370156293,-1.58475231287485,-0.782715413539321
2,0,-163,-8.23026550545176,-1.75665250856883,-0.874453376579548
2,0,-162,-7.96681287868998,-1.9389532579236,-0.971304098833311
2,0,-161,-7.72192233552047,-2.13194319210257,-1.07323526372337
2,0,-160,-7.49455265970244,-2.33593257309275,-1.18020566780144
2,0,-159,-7.2837840734759,-2.55125511588063,-1.29216450164485
2,0,-158,-7.08880086991508,-2.77827010480467,-1.40905059017828
2,0,-157,-6.90887681374542,-3.01736485103888,-1.53079158953088
2,0,-156,-6.74336276793217,-3.26895754629389,-1.65730313656403
2,0,-155,-6.5916761186633,-3.53350057777687,-1.78848794632861
2,0,-154,-6.45329165935108,-3.81148438169805,-1.92423485201036
2,0,-153,-6.32773366191063,-4.10344192774367,-2.06441778148776
2,0,-152,-6.21456891590081,-4.40995394571539,-2.20889466457003
2,0,-151,-6.11340055685114,-4.73165502893975,-2.35750626543292
2,0,-150,-6.02386253700518,-5.06924077833596,-2.51007493587654
2,0,-149,-5.94561461684719,-5.42347618782084,-2.66640328696329
2,0,-148,-5.87833777570414,-5.79520551812691,-2.82627277954149
2,0,-147,-5.82172995562075,-6.18536396483647,-2.98944223832139
2,0,-146,-5.7755020655167,-6.59499150100489,-3.1556462997466
2,0,-145,-5.73937418308542,-7.02524936968509,-3.32459381109074
2,0,-144,-5.71307190057616,-7.47743982271612,-3.49596620716786
2,0,-143,-5.69632276801323,-7.95302985646639,-3.66941590188688
2,0,-142,-5.6888527939815,-8.4536798914095,-3.84456474462077
2,0,-141,-5.69038297024039,-8.98127858998861,-4.02100260588527
2,0,-140,-5.70062579249402,-9.53798531499337,-4.19828617282383
2,0,-139,-5.71928175601702,-10.1262821022448,-4.37593805192268
2,0,-138,-5.7460358118944,-10.7490374444761,-4.55344629337056
2,0,-137,-5.78055377777482,-11.4095846049735,-4.73026446729968
2,0,-136,-5.82247870667378,-12.1118174498987,-4.90581243516213
2,0,-135,-5.87142722891621,-12.860306532231,-5.07947796766073
2,0,-134,-5.92698589618977,-13.6604364837493,-5.25061936155547
2,0,-133,-5.98870757326599,-14.5185605758707,-5.4185691986717
2,0,-132,-6.05610794251868,-15.4421546665815,-5.58263936890695
2,0,-131,-6.12866220905798,-16.4399189660462,-5.74212744268771
2,0,-130,-6.20580211997536,-17.5216940098275,-5.89632442568114
2,0,-129,-6.28691343935982,-18.6978586377561,-6.04452385946962
2,0,-128,-6.37133405038232,-19.977398008123,-6.18603214806393
2,0,-127,-6.45835288516334,-21.3626947931698,-6.32017989557671
2,0,-126,-6.54720990983267,-22.8366402482303,-6.44633394161081
2,0,-125,-6.63709741273274,-24.3339127391593,-6.56390968675873
2,0,-124,-6.72716285374723,-25.6913962393822,-6.67238322153153
2,0,-123,-6.8165135271041,-26.6193089266981,-6.77130271898506
2,0,-122,-6.90422326312625,-26.8329945942249,-6.86029853413223
2,0,-121,-6.98934134092202,-26.3306865605798,-6.93909147889006
2,0,-120,-7.07090369972259,-25.3957784420151,-7.00749881231117
2,0,-119,-7.14794641967076,-24.3194660218766,-7.06543759917781
2,0,-118,-7.21952129525622,-23.2665459094937,-7.11292523699949
2,0,-117,-7.28471315312525,-22.3034512201095,-7.15007711855071
2,0,-116,-7.34265838318919,-21.4479894885276,-7.17710156781788
2,0,-115,-7.39256397582496,-20.6982883219239,-7.1942923445358
2,0,-114,-7.43372621060356,-20.0458078699079,-7.20201914131533
2,0,-113,-7.4655480468139,-19.4806068126157,-7.20071658675148
2,0,-112,-7.48755424390084,-18.9933009708702,-7.19087231234193
2,0,-111,-7.49940330469892,-18.575679412614,-7.17301464073999
2,0,-110,-7.50089548911752,-18.2207978923168,-7.14770041302949
2,0,-109,-7.49197638084448,-17.9228851970178,-7.11550340217129
2,0,-108,-7.47273578211192,-17.6771975301189,-7.07700366924048
2,0,-107,-7.44340202938873,-17.4798732865351,-7.0327781194319
2,0,-106,-7.40433212943574,-17.3278065237234,-6.98339241575329
2,0,-105,-7.35599837585086,-17.2185437322872,-6.92939431745995
2,0,-104,-7.2989722942297,-17.1502033615693,-6.87130843276211
2,0,-103,-7.23390686438904,-17.1214159951267,-6.80963231388599
2,0,-102,-7.16151797895845,-17.1312829941696,-6.74483377785429
2,0,-101,-7.08256602913387,-17.1793519513918,-6.67734930746065
2,0,-100,-6.99783837915563,-17.2656080738214,-6.60758337190609
2,0,-99,-6.90813332403728,-17.3904815337699,-6.5359085029627
2,0,-98,-6.81424594322716,-17.5548719047881,-6.46266596769724
2,0,-97,-6.71695608605936,-17.760192125678,-6.38816689022117
2,0,-96,-6.61701856775598,-18.0084361772938,-6.31269369042583
2,0,-95,-6.5151555263666,-18.3022770876404,-6.23650172538501
2,0,-94,-6.41205079505097,-18.6452054489032,-6.15982103763034
2,0,-93,-6.30834607998053,-19.0417240907066,-6.08285813276704
2,0,-92,-6.20463869840336,-19.4976232229799,-6.00579772615917
2,0,-91,-6.10148061902464,-20.02037461604,-5.92880441419802
2,0,-90,-5.99937855219104,-20.6197076864167,-5.85202423969995
2,0,-89,-5.89879485503601,-21.3084734413782,-5.77558613314103
2,0,-88,-5.8001490420275,-22.1039820367919,-5.69960322170764
2,0,-87,-5.70381972044202,-23.0301550252627,-5.62417400658131
2,0,-86,-5.61014680029184,-24.1211532236547,-5.54938341558344
2,0,-85,-5.51943385713965,-25.4278427616525,-5.47530374340432
2,0,-84,-5.43195055276373,-27.0301059534915,-5.40199549527094
2,0,-83,-5.34793504207531,-29.0620410504747,-5.32950815220747
2,0,-82,-5.26759631475452,-31.7659571343925,-5.25788087715112
2,0,-81,-5.19111643677008,-35.5755078044516,-5.18714318123924
2,0,-80,-5.11865267048068,-40.2341825799706,-5.11731556871117
2,0,-79,-5.05033946268613,-38.5732529208241,-5.04841017719782
2,0,-78,-4.98629029816006,-33.6830647835553,-4.98043142782854
2,0,-77,-4.92659942221664,-30.0846196653447,-4.91337669669328
2,0,-76,-4.87134344009113,-27.4157998190974,-4.84723701588567
2,0,-75,-4.82058280366605,-25.3149346617959,-4.78199780874936
2,0,-74,-4.77436319763525,-23.5861806034751,-4.71763966019025
2,0,-73,-4.73271683781192,-22.118217694369,-4.65413911914058
2,0,-72,-4.6956636941616,-20.8428714734841,-4.59146952660694
2,0,-71,-4.66321265045484,-19.7156637422706,-4.52960185934746
2,0,-70,-4.63536261133291,-18.7060648752763,-4.46850557623988
2,0,-69,-4.61210356618692,-17.7922458359392,-4.40814945195348
2,0,-68,-4.59341761767043,-16.9580695921173,-4.34850238073898
2,0,-67,-4.57927998098398,-16.1912725222751,-4.28953413209641
2,0,-66,-4.56965995836153,-15.4823150709346,-4.23121603983943
2,0,-65,-4.5645218915173,-14.8236274650163,-4.17352160668083
2,0,-64,-4.563826093231,-14.2090985017289,-4.11642700791543
2,0,-63,-4.56752975780757,-13.6337193266539,-4.05991148003251
2,0,-62,-4.5755878488854,-13.0933291497542,-4.00395758306891
2,0,-61,-4.58795396201777,-12.5844298514433,-3.94855132909816
2,0,-60,-4.60458115864513,-12.10404827414,-3.89368217329234
2,0,-59,-4.62542276753162,-11.6496322330216,-3.83934286831715
2,0,-58,-4.65043314947197,-11.2189708302932,-3.78552918724103
2,0,-57,-4.67956842109272,-10.8101325912652,-3.73223952446374
2,0,-56,-4.71278713387171,-10.4214168755075,-3.67947438821372
2,0,-55,-4.75005090507492,-10.0513153187747,-3.62723580175892
2,0,-54,-4.7913249981406,-9.6984809543993,-3.57552663348026
2,0,-53,-4.83657885110348,-9.36170328547133,-3.52434987825741
2,0,-52,-4.88578655291211,-9.03988801989912,-3.47370791413943
2,0,-51,-4.93892726891159,-8.73204049686178,-3.423601758977
2,0,-50,-4.99598561829585,-8.43725206319967,-3.3740303515767
2,0,-49,-5.05695200792905,-8.15468882748872,-3.32498988102921
2,0,-48,-5.12182292854153,-7.88358234533194,-3.27647318622021
2,0,-47,-5.19060122087039,-7.62322188384256,-3.22846924523393
2,0,-46,-5.26329632078331,-7.37294798486114,-3.18096277150155
2,0,-45,-5.33992449374934,-7.13214710116375,-3.13393393023516
2,0,-44,-5.42050907015478,-6.9002471221122,-3.08735818503737
2,0,-43,-5.50508069386773,-6.67671363802479,-3.04120628069997
2,0,-42,-5.59367759709811,-6.46104681832455,-2.99544436421724
2,0,-41,-5.68634591495845,-6.25277879897351,-2.95003424205132
2,0,-40,-5.78314005318901,-6.0514714911145,-2.90493376780489
2,0,-39,-5.88412312226613,-5.85671473618629,-2.86009735078333
2,0,-38,-5.98936745056982,-5.66812474378701,-2.81547657255941
2,0,-37,-6.09895518846446,-5.48534275779002,-2.77102089567983
2,0,-36,-6.21297901407115,-5.30803390408324,-2.72667844615561
2,0,-35,-6.33154295022014,-5.13588618012191,-2.68239684943044
2,0,-34,-6.45476330061386,-4.9686095524846,-2.63812409818398
2,0,-33,-6.58276971165966,-4.80593513397177,-2.59380942964496
2,0,-32,-6.71570636480656,-4.64761441659995,-2.54940419009193
2,0,-31,-6.85373330260683,-4.4934185412011,-2.50486266491262
2,0,-30,-6.9970278901816,-4.34313758828494,-2.4601428539615
2,0,-29,-7.14578641235837,-4.19657987838821,-2.41520717395701
2,0,-28,-7.30022580551059,-4.05357127333347,-2.37002307222921
2,0,-27,-7.46058552208722,-3.91395447265438,-2.32456353917493
2,0,-26,-7.6271295249644,-3.77758830191673,-2.27880751018893
2,0,-25,-7.80014840802167,-3.64434699177427,-2.23274015148804
2,0,-24,-7.97996163861432,-3.51411944835023,-2.18635302799202
2,0,-23,-8.16691991665749,-3.38680851693779,-2.13964415512501
2,0,-22,-8.36140764349495,-3.26233024207948,-2.09261793991639
2,0,-21,-8.56384549104768,-3.14061312783878,-2.04528501997826
2,0,-20,-8.77469305710621,-3.02159740254187,-1.99766201170509
2,0,-19,-8.99445158484779,-2.90523429247725,-1.94977118128987
2,0,-18,-9.22366671198066,-2.79148530902997,-1.9016400538127
2,0,-17,-9.46293119480349,-2.68032155353514,-1.85330097669876
2,0,-16,-9.71288752122598,-2.57172304379993,-1.80479065425262
2,0,-15,-9.9742302790203,-2.46567806580413,-1.75614966977627
2,0,-14,-10.2477080733371,-2.36218255358209,-1.70742201101275
2,0,-13,-10.5341246791321,-2.2612394997482,-1.65865461339125
2,0,-12,-10.8343389523068,-2.16285839858197,-1.60989693386444
2,0,-11,-11.149262782386,-2.0670547230636,-1.56120056611626
2,0,-10,-11.4798560112544,-1.97384943676574,-1.51261890567752
2,0,-9,-11.8271167101539,-1.88326854107644,-1.46420687111602
2,0,-8,-12.1920644169852,-1.79534265786414,-1.41602068506425
2,0,-7,-12.5757127652897,-1.71010664739994,-1.36811771650089
2,0,-6,-12.9790262089876,-1.62759926113033,-1.32055638349219
2,0,-5,-13.4028530188616,-1.54786282874021,-1.27339611359559
2,0,-4,-13.8478230812733,-1.47094297885748,-1.22669735738488
2,0,-3,-14.3141939110098,-1.39688839271917,-1.18052164911845
2,0,-2,-14.8016214430331,-1.32575059013553,-1.13493170746474
2,0,-1,-15.3088238347697,-1.25758374714309,-1.08999156843887
2,0,0,-15.8330983982995,-1.19244454481924,-1.04576674229004
2,0,1,-16.3696491361718,-1.1303920488282,-1.00232438600016
2,0,2,-16.9106977883832,-1.07148761937206,-0.959733483285517
2,0,3,-17.4444101251364,-1.01579485131825,-0.918065024501813
2,0,4,-17.9538116437864,-0.963379544360234,-0.877392179595578
2,0,5,-18.4161302579981,-0.91430970313089,-0.837790458172265
2,0,6,-18.8033513162844,-0.868655567221524,-0.799337851807872
2,0,7,-19.0849523927259,-0.826489671059699,-0.762114954860348
2,0,8,-19.2332771237989,-0.78788693355927,-0.726205061179405
2,0,9,-19.2304356004517,-0.752924777376267,-0.691694235213849
2,0,10,-19.0737551755559,-0.721683277481311,-0.658671357019759
2,0,11,-18.7766741644832,-0.694245338595163,-0.627228141535387
2,0,12,-18.3645186873096,-0.670696900830006,-0.597459133169684
2,0,13,-17.8676875423689,-0.651127172638884,-0.569461677221339
2,0,14,-17.3155551982084,-0.635628889905036,-0.543335869885028
2,0,15,-16.7328684320639,-0.624298599707517,-0.51918448860238
2,0,16,-16.1385794884009,-0.617236966987992,-0.49711290428001
2,0,17,-15.5462093200996,-0.614549102024611,-0.47722897643872
2,0,18,-14.9648567559445,-0.616344906302315,-0.4596429317
2,0,19,-14.400305080573,-0.622739434065561,-0.444467225189475
2,0,20,-13.8559797260555,-0.63385326655985,-0.431816383480193
2,0,21,-13.3336901470531,-0.649812895723213,-0.421806826654241
2,0,22,-12.8341701689238,-0.670751113888176,-0.414556665974696
2,0,23,-12.3574571937792,-0.696807405907209,-0.410185472576751
2,0,24,-11.9031520330562,-0.728128340027485,-0.408814011550694
2,0,25,-11.4705939763871,-0.764867953818405,-0.410563934839971
2,0,26,-11.0589771443317,-0.807188131499552,-0.415557425549012
2,0,27,-10.6674267706284,-0.855258969125006,-0.423916785574562
2,0,28,-10.2950483929147,-0.909259124245641,-0.43576395795999
2,0,29,-9.94095884367025,-0.969376146882378,-0.451219975035477
2,0,30,-9.60430507882617,-1.03580678888208,-0.470404323250345
2,0,31,-9.2842749236648,-1.10875728896909,-0.493434215622723
2,0,32,-8.98010248582158,-1.18844363101689,-0.520423762916176
2,0,33,-8.69107008636098,-1.27509177320379,-0.55148303498844
2,0,34,-8.41650795353985,-1.36893784573233,-0.586717004229428
2,0,35,-8.15579251489848,-1.47022831461925,-0.626224363601118
2,0,36,-7.90834384726734,-1.57922010862223,-0.670096212503369
2,0,37,-7.67362265772547,-1.69618070556358,-0.718414604519444
2,0,38,-7.45112704232469,-1.82138817301874,-0.771250952058613
2,0,39,-7.24038918391021,-1.95513115640932,-0.828664284044041
2,0,40,-7.04097209244951,-2.09770880478995,-0.890699354147556
2,0,41,-6.85246645205108,-2.2494306208086,-0.957384598730155
2,0,42,-6.67448761232038,-2.41061621615403,-1.02872994571876
2,0,43,-6.50667274380864,-2.58159494689911,-1.10472447827881
2,0,44,-6.34867816531316,-2.76270539401658,-1.18533396050575
2,0,45,-6.2001768428256,-2.95429464235386,-1.27049823666609
2,0,46,-6.06085605473487,-3.15671729569455,-1.3601285210123
2,0,47,-5.93041521462237,-3.37033414515677,-1.45410460213666
2,0,48,-5.80856384106666,-3.59551038173317,-1.5522719944928
2,0,49,-5.69501966291975,-3.83261320953126,-1.65443908035884
2,0,50,-5.58950684827652,-4.08200867201668,-1.76037429836182
2,0,51,-5.49175434566855,-4.34405744650968,-1.86980344985871
2,0,52,-5.40149432677168,-4.61910928887413,-1.98240721195629
2,0,53,-5.31846072105791,-4.90749571656843,-2.09781896550986
2,0,54,-5.24238783430997,-5.20952039908597,-2.21562306751136
2,0,55,-5.17300904472768,-5.5254465748984,-2.33535371888914
2,0,56,-5.11005557247294,-5.85548062804909,-2.45649459940054
2,0,57,-5.05325532091074,-6.19975073169394,-2.57847945890512
2,0,58,-5.00233179048856,-6.55827920036448,-2.70069386611116
2,0,59,-4.95700306912794,-6.9309468965315,-2.82247831852045
2,0,60,-4.91698090614053,-7.31744773621204,-2.94313290691889
2,0,61,-4.88196987996954,-7.7172310895999,-3.06192370037843
2,0,62,-4.85166667341838,-8.12942978472426,-3.17809096969629
2,0,63,-4.82575947336011,-8.55277168656976,-3.29085929589265
2,0,64,-4.80392751509471,-8.98547375509256,-3.39944951510061
2,0,65,-4.78584079437962,-9.42511955935468,-3.50309233398517
2,0,66,-4.77115997251486,-9.86852509184069,-3.60104331635264
2,0,67,-4.75953650150558,-10.3116041339866,-3.69259880143973
2,0,68,-4.75061299701611,-10.7492539365478,-3.77711218081461
2,0,69,-4.74402388632573,-11.1752943493517,-3.85400984986597
2,0,70,-4.73939635655089,-11.5825066239304,-3.92280607823423
2,0,71,-4.73635162478852,-11.9628265836315,-3.98311602608613
2,0,72,-4.7345065463795,-12.3077416371803,-4.0346661798624
2,0,73,-4.73347557008209,-12.6089115840399,-4.07730159464091
2,0,74,-4.73287303957616,-12.8589740147383,-4.11098950421456
2,0,75,-4.73231582951456,-13.0524166207303,-4.13581907914756
