"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,90,-180,-5.99937855219104,-20.6197076864167,-5.85202423969995
2,90,-179,-6.09582571877387,-20.5209021044031,-5.94181415240436
2,90,-178,-6.18974211877135,-20.4455837067418,-6.02972200313311
2,90,-177,-6.28024160591958,-20.3938277775012,-6.11499327587172
2,90,-176,-6.36654550694773,-20.3652613353975,-6.19695344072198
2,90,-175,-6.44799946342832,-20.3591696675658,-6.27502192693121
2,90,-174,-6.52408595474185,-20.3745814400748,-6.34872329401398
2,90,-173,-6.59443217127699,-20.4103380070815,-6.4176953981135
2,90,-172,-6.65881328380216,-20.4651515433633,-6.48169456897077
2,90,-171,-6.71715150602152,-20.5376556057093,-6.54059801025193
2,90,-170,-6.76951162152101,-20.6264507903034,-6.5944037840015
2,90,-169,-6.81609380707505,-20.7301473278488,-6.64322881890223
2,90,-168,-6.85722461682798,-20.8474057483894,-6.68730538490787
2,90,-167,-6.89334690512842,-20.9769761484618,-6.72697641083513
2,90,-166,-6.92500928904933,-21.1177361011812,-6.76268990609517
2,90,-165,-6.95285552694564,-21.2687268669173,-6.79499261027612
2,90,-164,-6.97761396220261,-21.4291872941162,-6.82452286422333
2,90,-163,-7.00008699134863,-21.5985846532585,-6.852002599268
2,90,-162,-7.02114039031312,-21.7766416256911,-6.87822829448185
2,90,-161,-7.04169228350681,-21.9633587703378,-6.9040607613369
2,90,-160,-7.06270156386785,-22.1590320032558,-6.93041367574611
2,90,-159,-7.08515565204853,-22.3642649259211,-6.95824087487905
2,90,-158,-7.11005759616615,-22.5799761974201,-6.98852255070779
2,90,-157,-7.13841263474976,-22.807402526597,-7.02225058316023
2,90,-156,-7.17121445231668,-23.048098223173,-7.06041334507467
2,90,-155,-7.20943143325697,-23.303932552853,-7.10398036649939
2,90,-154,-7.25399325696757,-23.5770863532287,-7.15388726176969
2,90,-153,-7.30577817454752,-23.8700494470349,-7.2110213003484
2,90,-152,-7.36560126991959,-24.1856202901212,-7.2762079479729
2,90,-151,-7.43420394483793,-24.5269089388429,-7.35019862772004
2,90,-150,-7.5122447881857,-24.8973436777775,-7.43365986172239
2,90,-149,-7.60029190505988,-25.3006802466656,-7.52716386322054
2,90,-148,-7.69881669831046,-25.741010024372,-7.63118056320492
2,90,-147,-7.80818901983811,-26.2227587555853,-7.746070981308
2,90,-146,-7.92867354382804,-26.7506584818787,-7.87208178949968
2,90,-145,-8.06042715973486,-27.3296584665227,-8.00934086998625
2,90,-144,-8.2034971381477,-27.9647087691841,-8.15785363447073
2,90,-143,-8.35781978571669,-28.6602888934446,-8.31749984879838
2,90,-142,-8.52321927409069,-29.419438690659,-8.48803069320311
