Phi[deg],Theta[deg],RealizedGainTotal
-180,0,0.786001
-178,0,0.786001
-176,0,0.786001
-174,0,0.786001
-172,0,0.786001
-170,0,0.786001
-168,0,0.786001
-166,0,0.786001
-164,0,0.786001
-162,0,0.786001
-160,0,0.786001
-158,0,0.786001
-156,0,0.786001
-154,0,0.786001
-152,0,0.786001
-150,0,0.786001
-148,0,0.786001
-146,0,0.786001
-144,0,0.786001
-142,0,0.786001
-140,0,0.786001
-138,0,0.786001
-136,0,0.786001
-134,0,0.786001
-132,0,0.786001
-130,0,0.786001
-128,0,0.786001
-126,0,0.786001
-124,0,0.786001
-122,0,0.786001
-120,0,0.786001
-118,0,0.786001
-116,0,0.786001
-114,0,0.786001
-112,0,0.786001
-110,0,0.786001
-108,0,0.786001
-106,0,0.786001
-104,0,0.786001
-102,0,0.786001
-100,0,0.786001
-98,0,0.786001
-96,0,0.786001
-94,0,0.786001
-92,0,0.786001
-90,0,0.786001
-88,0,0.786001
-86,0,0.786001
-84,0,0.786001
-82,0,0.786001
-80,0,0.786001
-78,0,0.786001
-76,0,0.786001
-74,0,0.786001
-72,0,0.786001
-70,0,0.786001
-68,0,0.786001
-66,0,0.786001
-64,0,0.786001
-62,0,0.786001
-60,0,0.786001
-58,0,0.786001
-56,0,0.786001
-54,0,0.786001
-52,0,0.786001
-50,0,0.786001
-48,0,0.786001
-46,0,0.786001
-44,0,0.786001
-42,0,0.786001
-40,0,0.786001
-38,0,0.786001
-36,0,0.786001
-34,0,0.786001
-32,0,0.786001
-30,0,0.786001
-28,0,0.786001
-26,0,0.786001
-24,0,0.786001
-22,0,0.786001
-20,0,0.786001
-18,0,0.786001
-16,0,0.786001
-14,0,0.786001
-12,0,0.786001
-10,0,0.786001
-8,0,0.786001
-6,0,0.786001
-4,0,0.786001
-2,0,0.786001
0,0,0.786001
2,0,0.786001
4,0,0.786001
6,0,0.786001
8,0,0.786001
10,0,0.786001
12,0,0.786001
14,0,0.786001
16,0,0.786001
18,0,0.786001
20,0,0.786001
22,0,0.786001
24,0,0.786001
26,0,0.786001
28,0,0.786001
30,0,0.786001
32,0,0.786001
34,0,0.786001
36,0,0.786001
38,0,0.786001
40,0,0.786001
42,0,0.786001
44,0,0.786001
46,0,0.786001
48,0,0.786001
50,0,0.786001
52,0,0.786001
54,0,0.786001
56,0,0.786001
58,0,0.786001
60,0,0.786001
62,0,0.786001
64,0,0.786001
66,0,0.786001
68,0,0.786001
70,0,0.786001
72,0,0.786001
74,0,0.786001
76,0,0.786001
78,0,0.786001
80,0,0.786001
82,0,0.786001
84,0,0.786001
86,0,0.786001
88,0,0.786001
90,0,0.786001
92,0,0.786001
94,0,0.786001
96,0,0.786001
98,0,0.786001
100,0,0.786001
102,0,0.786001
104,0,0.786001
106,0,0.786001
108,0,0.786001
110,0,0.786001
112,0,0.786001
114,0,0.786001
116,0,0.786001
118,0,0.786001
120,0,0.786001
122,0,0.786001
124,0,0.786001
126,0,0.786001
128,0,0.786001
130,0,0.786001
132,0,0.786001
134,0,0.786001
136,0,0.786001
138,0,0.786001
140,0,0.786001
142,0,0.786001
144,0,0.786001
146,0,0.786001
148,0,0.786001
150,0,0.786001
152,0,0.786001
154,0,0.786001
156,0,0.786001
158,0,0.786001
160,0,0.786001
162,0,0.786001
164,0,0.786001
166,0,0.786001
168,0,0.786001
170,0,0.786001
172,0,0.786001
174,0,0.786001
176,0,0.786001
178,0,0.786001
180,0,0.786001
-180,2,0.770029
-178,2,0.769936
-176,2,0.769861
-174,2,0.769801
-172,2,0.769759
-170,2,0.769733
-168,2,0.769723
-166,2,0.76973
-164,2,0.769753
-162,2,0.769792
-160,2,0.769847
-158,2,0.769919
-156,2,0.770006
-154,2,0.77011
-152,2,0.770229
-150,2,0.770364
-148,2,0.770515
-146,2,0.770682
-144,2,0.770864
-142,2,0.771061
-140,2,0.771273
-138,2,0.771501
-136,2,0.771744
-134,2,0.772002
-132,2,0.772275
-130,2,0.772562
-128,2,0.772864
-126,2,0.77318
-124,2,0.77351
-122,2,0.773855
-120,2,0.774213
-118,2,0.774585
-116,2,0.77497
-114,2,0.775369
-112,2,0.77578
-110,2,0.776204
-108,2,0.77664
-106,2,0.777088
-104,2,0.777548
-102,2,0.778018
-100,2,0.7785
-98,2,0.778992
-96,2,0.779494
-94,2,0.780005
-92,2,0.780525
-90,2,0.781054
-88,2,0.78159
-86,2,0.782134
-84,2,0.782684
-82,2,0.78324
-80,2,0.783802
-78,2,0.784368
-76,2,0.784938
-74,2,0.785512
-72,2,0.786087
-70,2,0.786665
-68,2,0.787243
-66,2,0.787822
-64,2,0.788399
-62,2,0.788975
-60,2,0.789549
-58,2,0.79012
-56,2,0.790686
-54,2,0.791248
-52,2,0.791804
-50,2,0.792353
-48,2,0.792895
-46,2,0.793429
-44,2,0.793953
-42,2,0.794468
-40,2,0.794972
-38,2,0.795464
-36,2,0.795944
-34,2,0.79641
-32,2,0.796863
-30,2,0.797302
-28,2,0.797725
-26,2,0.798132
-24,2,0.798523
-22,2,0.798897
-20,2,0.799252
-18,2,0.79959
-16,2,0.799908
-14,2,0.800208
-12,2,0.800487
-10,2,0.800746
-8,2,0.800985
-6,2,0.801203
-4,2,0.801399
-2,2,0.801574
0,2,0.801727
2,2,0.801858
4,2,0.801967
6,2,0.802054
8,2,0.802118
10,2,0.80216
12,2,0.802179
14,2,0.802176
16,2,0.80215
18,2,0.802102
20,2,0.802031
22,2,0.801939
24,2,0.801824
26,2,0.801688
28,2,0.80153
30,2,0.801351
32,2,0.801151
34,2,0.80093
36,2,0.800689
38,2,0.800428
40,2,0.800148
42,2,0.799848
44,2,0.79953
46,2,0.799194
48,2,0.798841
50,2,0.79847
52,2,0.798083
54,2,0.79768
56,2,0.797262
58,2,0.796829
60,2,0.796382
62,2,0.795921
64,2,0.795448
66,2,0.794963
68,2,0.794466
70,2,0.793959
72,2,0.793441
74,2,0.792915
76,2,0.79238
78,2,0.791837
80,2,0.791288
82,2,0.790732
84,2,0.790171
86,2,0.789605
88,2,0.789036
90,2,0.788463
92,2,0.787888
94,2,0.787311
96,2,0.786734
98,2,0.786156
100,2,0.78558
102,2,0.785005
104,2,0.784432
106,2,0.783862
108,2,0.783296
110,2,0.782734
112,2,0.782178
114,2,0.781627
116,2,0.781083
118,2,0.780546
120,2,0.780017
122,2,0.779496
124,2,0.778984
126,2,0.778482
128,2,0.77799
130,2,0.777508
132,2,0.777038
134,2,0.77658
136,2,0.776133
138,2,0.775699
140,2,0.775279
142,2,0.774871
144,2,0.774478
146,2,0.774098
148,2,0.773733
150,2,0.773383
152,2,0.773048
154,2,0.772728
156,2,0.772423
158,2,0.772134
160,2,0.771861
162,2,0.771604
164,2,0.771363
166,2,0.771139
168,2,0.770931
170,2,0.770739
172,2,0.770564
174,2,0.770405
176,2,0.770263
178,2,0.770137
180,2,0.770029
-180,4,0.753929
-178,4,0.753784
